seed,n,Método,Custo,Tempo (s),Gap (%)
42,22,Ótimo (Gurobi),360.7763179262375,0.08365726470947266,0.0
42,22,Nearest Neighbor,462.41915591300494,0.0,28.17336752340514
42,22,Cheapest Insertion,368.6007814150529,0.0,2.168785227863865
42,22,Farthest Insertion,362.41505896614694,0.0,0.4542263331831306
42,23,Ótimo (Gurobi),360.8688529206007,0.28639912605285645,0.0
42,23,Nearest Neighbor,463.00910214031785,0.0,28.303980349944553
42,23,Cheapest Insertion,373.82218210890954,0.0,3.5894838480723226
42,23,Farthest Insertion,362.50759396051023,0.0,0.45410985920419095
42,24,Ótimo (Gurobi),362.7458914160253,0.6943399906158447,0.0
42,24,Nearest Neighbor,463.0432297601463,0.0,27.64947604302213
42,24,Cheapest Insertion,374.8084691589127,0.0,3.3253519966276084
42,24,Farthest Insertion,364.3846324559348,0.0020155906677246094,0.4517600553689201
42,25,Ótimo (Gurobi),384.32222044978806,0.46011805534362793,0.0
42,25,Nearest Neighbor,485.77348816110856,0.0,26.397450449934414
42,25,Cheapest Insertion,398.77367895818514,0.0,3.7602453720953077
42,25,Farthest Insertion,408.679797967954,0.0,6.337800996689518
42,26,Ótimo (Gurobi),390.70913838543953,0.5165290832519531,0.0
42,26,Nearest Neighbor,481.7048214665917,0.0,23.28987836250294
42,26,Cheapest Insertion,434.11818319837244,0.0,11.110322372370346
42,26,Farthest Insertion,415.0667159036055,0.0,6.2341970343516495
42,27,Ótimo (Gurobi),412.96299215714777,0.4165308475494385,0.0
42,27,Nearest Neighbor,503.9586752382999,0.0,22.034827529176006
42,27,Cheapest Insertion,461.7055775746355,0.0010056495666503906,11.80313644156748
42,27,Farthest Insertion,414.98833729944783,0.0,0.49044228678228613
42,28,Ótimo (Gurobi),416.77312781572795,0.7566275596618652,0.0
42,28,Nearest Neighbor,505.7434657545799,0.0,21.347426693543763
42,28,Cheapest Insertion,463.4903680909156,0.0,11.20927362088546
42,28,Farthest Insertion,426.397922853676,0.0,2.309360751829363
42,29,Ótimo (Gurobi),422.6793669046641,0.748178243637085,0.0
42,29,Nearest Neighbor,495.54363565986296,0.0,17.23866231957177
42,29,Cheapest Insertion,466.1296888628807,0.0,10.279735743054822
42,29,Farthest Insertion,432.3041619426122,0.0,2.277091287524094
42,30,Ótimo (Gurobi),423.45530725402693,0.7326958179473877,0.0
42,30,Nearest Neighbor,505.7937692379999,0.0,19.444427918004322
42,30,Cheapest Insertion,466.18688725278895,0.0,10.091166474181827
42,30,Farthest Insertion,433.0801022919749,0.0,2.2729187409083917
42,31,Ótimo (Gurobi),443.74201689197605,0.5872507095336914,0.0
42,31,Nearest Neighbor,579.4813864339143,0.0,30.589704011505052
42,31,Cheapest Insertion,491.34378776116074,0.01597285270690918,10.727352618666446
42,31,Farthest Insertion,470.34132426609784,0.0,5.994317950873039
42,32,Ótimo (Gurobi),450.91987321588186,0.8638644218444824,0.0
42,32,Nearest Neighbor,543.1494291779569,0.0,20.45364629957645
42,32,Cheapest Insertion,510.01371192482566,0.0,13.105175047508297
42,32,Farthest Insertion,464.0851906944049,0.0,2.9196578506576545
42,33,Ótimo (Gurobi),462.2252428130367,1.1696982383728027,0.0
42,33,Nearest Neighbor,554.7128339134046,0.0,20.009203854272783
42,33,Cheapest Insertion,521.3190815219805,0.001010894775390625,12.784641173923594
42,33,Farthest Insertion,477.36272119054524,0.0020110607147216797,3.274913824563979
42,34,Ótimo (Gurobi),474.65543296517484,4.157619476318359,0.0
42,34,Nearest Neighbor,555.4949399576607,0.0,17.031198081412665
42,34,Cheapest Insertion,542.2288531888717,0.0,14.236310285455982
42,34,Farthest Insertion,498.27249285743665,0.0,4.9756219463719
42,35,Ótimo (Gurobi),480.82839769183295,3.1798322200775146,0.0
42,35,Nearest Neighbor,556.3854597511975,0.0,15.71393503837718
42,35,Cheapest Insertion,544.0510183676566,0.0,13.148686928500345
42,35,Farthest Insertion,504.2372178465816,0.0,4.8684354474736224
42,36,Ótimo (Gurobi),485.3502487565294,5.889852285385132,0.0
42,36,Nearest Neighbor,560.907310815894,0.0,15.567533395304167
42,36,Cheapest Insertion,548.5728694323532,0.0,13.026184871193642
42,36,Farthest Insertion,507.186613641958,0.0,4.499094198751001
42,37,Ótimo (Gurobi),487.7421656362808,6.5711305141448975,0.0
42,37,Nearest Neighbor,566.31368463721,0.0,16.109232405287184
42,37,Cheapest Insertion,553.9792432536692,0.0,13.580346807001868
42,37,Farthest Insertion,507.8716751705999,0.0,4.127080033783683
42,38,Ótimo (Gurobi),488.2756630383084,8.062399864196777,0.0
42,38,Nearest Neighbor,615.3862283029625,0.0,26.032541633081866
42,38,Cheapest Insertion,576.5464792784906,0.0,18.07807001702986
42,38,Farthest Insertion,510.47475468702464,0.0,4.5464259903067505
42,39,Ótimo (Gurobi),493.28496951171905,5.689186096191406,0.0
42,39,Nearest Neighbor,615.4089169358231,0.012040376663208008,24.757281282052663
42,39,Cheapest Insertion,578.58830600826,0.0,17.29291216413485
42,39,Farthest Insertion,510.4974433198852,0.0,3.4893570394419253
42,40,Ótimo (Gurobi),493.3660407953753,5.906407117843628,0.0
42,40,Nearest Neighbor,617.4272343684044,0.0,25.145872093876793
42,40,Cheapest Insertion,578.6693772919162,0.0032227039337158203,17.290070544583898
42,40,Farthest Insertion,510.57851460354146,0.0,3.488783658562567
42,41,Ótimo (Gurobi),497.06162334342434,4.234699249267578,0.0
42,41,Nearest Neighbor,619.1407252773095,0.0,24.56015435525578
42,41,Cheapest Insertion,579.2761679931442,0.0020139217376708984,16.54011108254823
42,41,Farthest Insertion,522.8511281382432,0.0,5.188391858005233
42,42,Ótimo (Gurobi),498.1139455503902,1.9851508140563965,0.0
42,42,Nearest Neighbor,620.6639474918996,0.0,24.602804847412575
42,42,Cheapest Insertion,593.9180483836395,0.0,19.23337093632075
42,42,Farthest Insertion,524.3743503528333,0.0,5.271967395618022
42,43,Ótimo (Gurobi),498.118965092159,1.749776840209961,0.0
42,43,Nearest Neighbor,620.6689670336683,0.0,24.602556925098376
42,43,Cheapest Insertion,593.9230679254081,0.0020067691802978516,19.233177121759255
42,43,Farthest Insertion,529.1563250810874,0.002006053924560547,6.230913127988626
42,44,Ótimo (Gurobi),501.3096256037803,1.7946431636810303,0.0
42,44,Nearest Neighbor,571.0367105754794,0.0,13.908985866313541
42,44,Cheapest Insertion,597.1137284370296,0.0,19.11076467320217
42,44,Farthest Insertion,541.0876989998974,0.0043048858642578125,7.934831362595146
42,45,Nearest Neighbor,574.8110733978718,0.0,nan
42,45,Cheapest Insertion,600.888091259422,0.0,nan
42,45,Farthest Insertion,550.3482327861051,0.0,nan
42,46,Nearest Neighbor,583.5827422564129,0.0,nan
42,46,Cheapest Insertion,616.614103816139,0.0017671585083007812,nan
42,46,Farthest Insertion,559.1199016446461,0.0,nan
42,47,Nearest Neighbor,610.6695819592444,0.0,nan
42,47,Cheapest Insertion,681.1766487192505,0.0021347999572753906,nan
42,47,Farthest Insertion,563.168756546141,0.0,nan
42,48,Nearest Neighbor,619.7674051341882,0.0,nan
42,48,Cheapest Insertion,690.2744718941942,0.0022149085998535156,nan
42,48,Farthest Insertion,572.2665797210849,0.001035451889038086,nan
42,49,Nearest Neighbor,619.7675406075448,0.0,nan
42,49,Cheapest Insertion,650.5134144875096,0.0,nan
42,49,Farthest Insertion,573.3289683022273,0.003477334976196289,nan
42,50,Nearest Neighbor,714.5104758396096,0.007041454315185547,nan
42,50,Cheapest Insertion,668.0381209053011,0.0020062923431396484,nan
